time,open,high,low,close
2018-01-02 00:00:00+00:00,8.16812,8.17905,8.1651,8.17668
2018-01-02 04:00:00+00:00,8.17606,8.18138,8.16458,8.16705
2018-01-02 08:00:00+00:00,8.16793,8.17847,8.14052,8.14064
2018-01-02 12:00:00+00:00,8.14072,8.15559,8.12847,8.1548
2018-01-02 16:00:00+00:00,8.15487,8.18968,8.15424,8.17318
2018-01-02 20:00:00+00:00,8.17323,8.17578,8.1609,8.16503
2018-01-03 00:00:00+00:00,8.1639,8.1731,8.15552,8.1684
2018-01-03 04:00:00+00:00,8.1684,8.1759,8.16746,8.16965
2018-01-03 08:00:00+00:00,8.16981,8.18915,8.15915,8.16821
2018-01-03 12:00:00+00:00,8.16812,8.18148,8.15871,8.16352
2018-01-03 16:00:00+00:00,8.16356,8.18632,8.16286,8.17011
2018-01-03 20:00:00+00:00,8.16994,8.18594,8.16533,8.1731
2018-01-04 00:00:00+00:00,8.1731,8.1845,8.1697,8.17492
2018-01-04 04:00:00+00:00,8.17489,8.17937,8.16782,8.1765
2018-01-04 08:00:00+00:00,8.17658,8.17951,8.14858,8.15332
2018-01-04 12:00:00+00:00,8.1533,8.15839,8.12414,8.14087
2018-01-04 16:00:00+00:00,8.14073,8.14353,8.1254,8.1328
2018-01-04 20:00:00+00:00,8.13278,8.13925,8.12755,8.13219
2018-01-05 00:00:00+00:00,8.1308,8.13834,8.12414,8.13176
2018-01-05 04:00:00+00:00,8.1318,8.13362,8.12776,8.13184
2018-01-05 08:00:00+00:00,8.13187,8.15896,8.13159,8.15618
2018-01-05 12:00:00+00:00,8.15662,8.16432,8.13657,8.15451
2018-01-05 16:00:00+00:00,8.15429,8.16406,8.13193,8.13328
2018-01-05 20:00:00+00:00,8.13328,8.15652,8.13102,8.15142
2018-01-08 00:00:00+00:00,8.14772,8.14852,8.13392,8.13932
2018-01-08 04:00:00+00:00,8.13922,8.16193,8.13782,8.16012
2018-01-08 08:00:00+00:00,8.16009,8.18564,8.15684,8.17824
2018-01-08 12:00:00+00:00,8.17824,8.20636,8.16874,8.20457
2018-01-08 16:00:00+00:00,8.20457,8.22123,8.19184,8.20375
2018-01-08 20:00:00+00:00,8.20369,8.21537,8.18993,8.19225
2018-01-09 00:00:00+00:00,8.18974,8.20716,8.18917,8.198550000000001
2018-01-09 04:00:00+00:00,8.19851,8.20495,8.19303,8.20125
2018-01-09 08:00:00+00:00,8.20125,8.23828,8.19688,8.23371
2018-01-09 12:00:00+00:00,8.23387,8.25072,8.22878,8.25036
2018-01-09 16:00:00+00:00,8.25036,8.25272,8.23445,8.24192
2018-01-09 20:00:00+00:00,8.24208,8.24313,8.22273,8.22365
2018-01-10 00:00:00+00:00,8.22295,8.2372,8.22197,8.22594
2018-01-10 04:00:00+00:00,8.22605,8.23575,8.2224,8.23344
2018-01-10 08:00:00+00:00,8.2334,8.23952,8.15997,8.20302
2018-01-10 12:00:00+00:00,8.20293,8.20593,8.16535,8.17618
2018-01-10 16:00:00+00:00,8.1762,8.20086,8.15972,8.18515
2018-01-10 20:00:00+00:00,8.18506,8.20675,8.17429,8.19612
2018-01-11 00:00:00+00:00,8.1939,8.20039,8.18738,8.19022
2018-01-11 04:00:00+00:00,8.19012,8.19882,8.18051,8.18651
