time,open,high,low,close
2018-01-02 16:00:00+00:00,57.07,57.07,56.89,56.89
2018-01-02 20:00:00+00:00,56.89,57.07,56.86,57.04
2018-01-03 16:00:00+00:00,57.18,57.21,57.02,57.17
2018-01-03 20:00:00+00:00,57.17,57.19,57.07,57.14
2018-01-04 16:00:00+00:00,56.81,57.02,56.81,57.01
2018-01-04 20:00:00+00:00,57.08,57.11,57.05,57.07
2018-01-05 16:00:00+00:00,56.87,56.88,56.83,56.83
2018-01-05 20:00:00+00:00,56.89,56.93,56.79,56.82
2018-01-08 16:00:00+00:00,57.0,57.0,56.77,56.82
2018-01-08 20:00:00+00:00,56.83,56.85,56.73,56.81
2018-01-09 16:00:00+00:00,56.51,56.51,56.35,56.39
2018-01-09 20:00:00+00:00,56.4,56.41,56.27,56.27
2018-01-10 16:00:00+00:00,56.05,56.05,56.05,56.05
2018-01-10 20:00:00+00:00,56.28,56.3,56.24,56.29
2018-01-11 16:00:00+00:00,56.19,56.31,56.15,56.31
2018-01-11 20:00:00+00:00,56.35,56.43,56.35,56.41
2018-01-12 16:00:00+00:00,56.13,56.21,56.13,56.14
2018-01-12 20:00:00+00:00,56.19,56.27,56.19,56.24
2018-01-16 16:00:00+00:00,56.34,56.36,56.25,56.25
2018-01-16 20:00:00+00:00,56.17,56.37,56.17,56.37
2018-01-17 16:00:00+00:00,56.22,56.22,56.11,56.11
2018-01-17 20:00:00+00:00,56.17,56.18,56.0,56.04
2018-01-18 16:00:00+00:00,55.76,55.76,55.76,55.76
2018-01-18 20:00:00+00:00,55.7,55.75,55.63,55.67
2018-01-19 16:00:00+00:00,55.54,55.58,55.52,55.58
2018-01-19 20:00:00+00:00,55.51,55.53,55.51,55.51
2018-01-22 16:00:00+00:00,55.4,55.52,55.38,55.38
2018-01-22 20:00:00+00:00,55.38,55.42,55.3,55.38
2018-01-23 16:00:00+00:00,55.62,55.67,55.59,55.59
2018-01-23 20:00:00+00:00,55.6,55.68,55.6,55.68
2018-01-24 16:00:00+00:00,55.4,55.4,55.38,55.39
2018-01-24 20:00:00+00:00,55.48,55.56,55.43,55.47
2018-01-25 16:00:00+00:00,55.45,55.51,55.45,55.5
2018-01-25 20:00:00+00:00,55.59,55.74,55.59,55.71
2018-01-26 16:00:00+00:00,55.3,55.3,55.3,55.3
2018-01-26 20:00:00+00:00,55.31,55.4,55.31,55.38
2018-01-29 16:00:00+00:00,54.99,54.99,54.87,54.95
2018-01-29 20:00:00+00:00,55.0,55.14,55.0,55.14
2018-01-30 16:00:00+00:00,54.96,54.96,54.91,54.91
2018-01-30 20:00:00+00:00,54.89,54.89,54.83,54.83
2018-01-31 16:00:00+00:00,54.69,54.69,54.67,54.68
2018-01-31 20:00:00+00:00,54.69,54.82,54.67,54.73
2018-02-01 16:00:00+00:00,54.78,54.78,54.54,54.57
2018-02-01 20:00:00+00:00,54.51,54.52,54.14,54.22
2018-02-02 16:00:00+00:00,53.98,54.02,53.83,53.99
2018-02-02 20:00:00+00:00,53.97,53.97,53.83,53.9
2018-02-05 16:00:00+00:00,53.93,53.93,53.73,53.78
2018-02-05 20:00:00+00:00,53.93,54.91,53.93,54.6
2018-02-06 16:00:00+00:00,54.65,54.68,54.43,54.5
2018-02-06 20:00:00+00:00,54.51,54.68,54.33,54.34
2018-02-07 16:00:00+00:00,54.38,54.38,54.14,54.14
2018-02-07 20:00:00+00:00,54.03,54.03,53.95,53.95
2018-02-08 16:00:00+00:00,53.65,53.71,53.47,53.71
2018-02-08 20:00:00+00:00,53.86,54.03,53.8,54.03
2018-02-09 16:00:00+00:00,53.81,54.15,53.79,54.15
2018-02-09 20:00:00+00:00,54.23,54.37,53.9,53.94
2018-02-12 20:00:00+00:00,53.74,53.81,53.74,53.81
2018-02-13 16:00:00+00:00,53.81,53.87,53.8,53.85
2018-02-13 20:00:00+00:00,53.85,53.99,53.85,53.99
2018-02-14 16:00:00+00:00,53.55,53.55,53.34,53.41
2018-02-14 20:00:00+00:00,53.3,53.36,53.22,53.27
2018-02-15 16:00:00+00:00,53.33,53.42,53.33,53.42
2018-02-15 20:00:00+00:00,53.48,53.48,53.36,53.36
2018-02-16 16:00:00+00:00,53.65,53.74,53.63,53.65
2018-02-16 20:00:00+00:00,53.72,53.72,53.51,53.56
2018-02-20 16:00:00+00:00,53.32,53.32,53.27,53.29
2018-02-20 20:00:00+00:00,53.31,53.51,53.3,53.45
2018-02-21 16:00:00+00:00,53.52,53.52,53.42,53.42
2018-02-21 20:00:00+00:00,53.23,53.27,53.04,53.11
2018-02-22 16:00:00+00:00,53.36,53.39,53.31,53.32
2018-02-22 20:00:00+00:00,53.31,53.31,53.22,53.26
2018-02-23 16:00:00+00:00,53.53,53.74,53.51,53.7
2018-02-23 20:00:00+00:00,53.69,53.75,53.64,53.66
2018-02-26 16:00:00+00:00,53.96,53.96,53.78,53.78
2018-02-26 20:00:00+00:00,53.78,53.79,53.73,53.73
2018-02-27 16:00:00+00:00,53.69,53.71,53.29,53.33
2018-02-27 20:00:00+00:00,53.35,53.48,53.33,53.48
2018-02-28 16:00:00+00:00,53.67,53.67,53.67,53.67
2018-03-01 16:00:00+00:00,53.86,53.9,53.82,53.9
