s,reg,d,n,ryr,t,pf,py
NY     (13:30-20:00 Londres),low,both,754,5.526178436382424,1.4260273601906528,1.1256182509620332,6/9
NY     (13:30-20:00 Londres),low,long,376,5.318845514288938,1.9437516363323295,1.2600895295019046,7/9
NY     (13:30-20:00 Londres),off,long,665,2.9058631549051985,0.8049651953900872,1.0735340209719397,6/9
Asie   (00:00-08:00 Londres),off,long,125,1.3558408928086376,0.8474901808371361,1.1861765052740647,4/9
Asie   (00:00-08:00 Londres),low,long,35,0.8701925403737141,1.1400669261099075,1.5738939748924305,5/8
Londres(08:00-16:30 Londres),high,short,122,0.6358388667757471,0.3613726108911257,1.074630755501817,5/9
Asie   (00:00-08:00 Londres),high,long,90,0.49193913420221547,0.34465330866270494,1.0842223961837847,4/9
Londres(08:00-16:30 Londres),off,short,243,0.3562351974109932,0.14884214109063998,1.0211798104573422,6/9
Londres(08:00-16:30 Londres),high,both,242,0.1874250890088372,0.07720144621072954,1.0109496462690704,4/9
NY     (13:30-20:00 Londres),low,short,399,0.019992018912928733,0.007066555244907851,1.0007973704566782,5/9
Londres(08:00-16:30 Londres),low,short,121,-0.2709217740801885,-0.16368909813096683,0.9678238806762222,4/9
Londres(08:00-16:30 Londres),low,long,101,-0.28134200669283227,-0.18930123532629173,0.9591318345886783,3/9
Londres(08:00-16:30 Londres),off,both,464,-0.36634440735711293,-0.11219730273359255,0.9886301567804913,4/9
Asie   (00:00-08:00 Londres),high,both,153,-0.44574035368385595,-0.24583282662717593,0.9568793346976455,5/9
Londres(08:00-16:30 Londres),low,both,222,-0.5519027387368417,-0.24881074941619055,0.9639167607092873,4/9
Londres(08:00-16:30 Londres),high,long,121,-0.5674402769289756,-0.33499168999119205,0.9353138946886356,4/9
Asie   (00:00-08:00 Londres),low,both,74,-0.5684736191262222,-0.5485681659677271,0.8610625429455758,3/9
Londres(08:00-16:30 Londres),off,long,222,-0.8414910497390066,-0.3769866876758346,0.9458626481117682,3/9
NY     (13:30-20:00 Londres),off,both,1290,-0.9109660334139518,-0.1798254818282256,0.9887972898338824,4/9
Asie   (00:00-08:00 Londres),off,both,227,-1.0085139682872672,-0.4884856684746261,0.9294569819293178,2/9
Asie   (00:00-08:00 Londres),high,short,66,-1.0661466942143756,-0.935338648165333,0.7753028079449223,4/9
Asie   (00:00-08:00 Londres),low,short,42,-1.7167149178447076,-2.451942075870605,0.4144058659790399,1/9
NY     (13:30-20:00 Londres),high,long,289,-2.39424090079035,-1.0072819414605259,0.8760877853063511,3/9
Asie   (00:00-08:00 Londres),off,short,108,-2.7388432808322967,-2.061786660423206,0.6396839510539721,1/9
NY     (13:30-20:00 Londres),off,short,674,-2.871653870598862,-0.7692838101816258,0.9362055910455312,4/9
NY     (13:30-20:00 Londres),high,short,275,-2.9435859691731725,-1.1871115356994348,0.8549954418700267,3/9
NY     (13:30-20:00 Londres),high,both,536,-6.471826553538333,-1.9747828543632877,0.8280983576798038,1/9
