strat,n,t_pool,n_assets,pos,best,best_t,best_ryr,e_r
C9 ROC(12) croise zero,2515,4.240711543295471,19,14,US30,2.5429718425002847,2.218083338264419,0.07077204242082547
"C3 MACD(12,26,9) croisement",1578,4.096807376601712,19,15,BTCUSD,2.4597234769303418,4.930088317262218,0.1033273296442263
C2 croisement 20 EMA,2533,3.80022289012872,19,14,US500,2.0082763275562665,2.2697958531733806,0.07774669367814868
C1 croisement 9 EMA,3963,3.4117081915731386,19,14,BTCUSD,2.3383749956802435,5.018497680332862,0.037242590298022515
C7 Donchian haut 20 + sortie 80j,496,3.300057203597458,19,15,NAS100,2.366518873840001,3.0520349928230934,0.36743692630991226
"D2 semaine expiration (3e vendredi, 5j)",987,3.1357037862512596,11,8,US500,2.289379351629379,1.6293536953225598,0.06251117870865674
B6 Keltner: <bande basse -> ligne mediane,657,2.9680818959171384,19,12,NETH25,2.6139784990546078,2.3937891386763974,0.1067040624566099
C8 Bollinger breakout (cloture>bande haute),693,2.6465807612962124,19,14,ETHUSD,2.2851236540529167,4.0432638290642675,0.12585830422006658
"B7 IBS<0.2 -> >0.8  (= brique 4, controle)",4569,2.5141309939338226,19,13,NAS100,5.158776740934966,4.807955309197894,0.018693199369740954
C5 MA200 (long au-dessus),592,2.5108657779335553,19,11,BTCUSD,1.6162213587020526,8.128960432194175,0.3129205187747291
B4 Donchian bas 20 -> QS exit,1083,2.306460839037236,19,13,GER40,2.2237192985804777,1.459734288557396,0.04360173529715928
B2 Turnaround Tuesday (lundi -1%),379,2.1553005297597347,9,7,NAS100,2.8780090258787436,0.7981812172048581,0.036504945480360367
"B5 Connors %b (MA200, %b<0.2 -> >0.8)",638,1.953317641864747,19,12,GER40,2.2413717999504947,2.3040266098697337,0.07717423358315466
"C6 MA 12 mois (~250j, or)",568,1.8993778010007594,19,12,BTCUSD,1.4798153752145262,4.886703910010274,0.412966501995251
C4 Golden/Death cross 50-200,285,1.8161077271897432,19,11,BTCUSD,1.3193283108293987,4.522650402181314,0.5831043205258638
B1 inside day -> QS exit,3910,1.5169911661492828,19,12,US2000,1.8751849634781559,1.4031661183714852,0.011252287156974456
"D1 turn-of-month (5e dernier jour, 7j)",1757,1.502845322275578,19,11,ETHUSD,2.064814021949229,2.10453051369551,0.025804693414200115
B3 Connors 3-day high/low,1572,1.3892085426772707,19,10,NAS100,1.6794258801671027,1.0755247345806787,0.017183990762880096
"A4 overnight, filtre MA200",23572,-0.03067401300713138,19,8,XAUUSD,2.515516643173094,3.73529605926198,-5.508602225159317e-05
"A2 overnight, 3 cloutres en baisse",3875,-0.4258611841202612,19,9,USDCAD,1.7840818672083378,0.8071661932505236,-0.002094027783049433
"A1 overnight, inconditionnel",38982,-1.2133259843827089,19,8,XAUUSD,2.3279428104243087,3.6230887616282,-0.0016857697223527735
